Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
6322,3865,6,7,7.0,4.29,55042,110667
6323,3866,6,7,7.0,4.29,55052,110688
6324,3867,6,7,7.0,4.29,55066,110715
6325,3868,6,7,7.0,4.29,55080,110742
6326,3869,6,7,7.0,4.29,55094,110769
6327,3870,6,7,7.0,4.29,55104,110790
6328,3871,6,7,7.0,4.29,55118,110817
6329,3872,6,7,7.0,4.29,55132,110844
6330,3873,6,7,7.0,4.29,55146,110871
6331,3874,6,7,7.0,4.29,55160,110898
6332,3875,6,7,7.0,4.29,55170,110919
6333,3876,6,7,7.0,4.29,55184,110946
6334,3877,6,7,7.0,4.29,55198,110973
6335,3878,6,7,7.0,4.29,55212,111000
6336,3879,6,7,7.0,4.29,55222,111021
6337,3880,6,7,7.0,4.29,55236,111048
6338,3881,6,7,7.0,4.29,55250,111075
6339,3882,6,7,7.0,4.29,55264,111102
6340,3883,6,7,7.0,4.29,55278,111129
6341,3884,6,7,7.0,4.29,55288,111150
6342,3885,6,7,7.0,4.29,55302,111177
6343,3886,6,7,7.0,4.29,55316,111204
6344,3887,6,7,7.0,4.29,55330,111231
6345,3888,6,7,7.0,4.29,55340,111252
6346,3889,6,7,7.0,4.29,55354,111279
6347,3890,6,7,7.0,4.29,55368,111306
6348,3891,6,7,7.0,4.29,55382,111333
6349,3892,6,7,7.0,4.29,55396,111360
6350,3893,6,7,7.0,4.29,55406,111381
6351,3894,6,7,7.0,4.29,55420,111408
6352,3895,6,7,7.0,4.29,55434,111435
6353,3896,6,7,7.0,4.29,55448,111462
6354,3897,6,7,7.0,4.29,55458,111483
6355,3898,6,7,7.0,4.29,55472,111510
6356,3899,6,7,7.0,4.29,55486,111537
6357,3900,6,7,7.0,4.29,55500,111564
6358,3901,6,7,7.0,4.29,55514,111591
6359,3902,6,7,7.0,4.29,55524,111612
6360,3903,6,7,7.0,4.29,55538,111639
6361,3904,6,7,7.0,4.29,55552,111666
6362,3905,6,7,7.0,4.29,55566,111693
6363,3906,6,7,7.0,4.29,55576,111714
6364,3907,6,7,7.0,4.29,55590,111741
6365,3908,6,7,7.0,4.29,55604,111768
6366,3909,6,7,7.0,4.29,55618,111795
6367,3910,6,7,7.0,4.29,55632,111822
6368,3911,6,7,7.0,4.29,55642,111843
6369,3912,6,7,7.0,4.29,55656,111870
6370,3913,6,7,7.0,4.29,55670,111897
6371,3914,6,7,7.0,4.29,55684,111924
